from,to,type,entityName,defaultValue
program,program,USE_DEFAULT_PROGRAM,,MLA
facilityType,facilityType,TO_OBJECT_BY_CODE,FacilityType,
reason,reason,TO_OBJECT_BY_NAME,StockCardLineItemReason,
hidden,hidden,DIRECT,,
