referenceId,isRefDataFacility
LRRHCC2,true
LRRHCC3,true
LRRHCC4,true
LRRHCC5,true
LRRHCC6,true
LRRHCC7,true
LRRHCC8,true
LRRHCC9,true
LRRHCC10,true
LRRHCC11,true
LRRHCC12,true
LRRHCC13,true
LRRHCC14,true
LRRHCC15,true
LRRHCC16,true
LRRHCC17,true
LRRHCC18,true
LRRHCC19,true
LRRHCC20,true
LRRHCC21,true
LRRHCC22,true
LRRHCC23,true
LRRHCC24,true
LRRHCC25,true
URRRMS,true
URRHSP1,true
URRHCC1,true
URRHCC2,true
URRHCC3,true
URRHCC4,true
URRHCC5,true
URRHCC6,true
URRHCC7,true
URRHCC8,true
URRHCC9,true
URRHCC10,true
URRHCC11,true
URRHCC12,true
URRHCC13,true
URRHCC14,true
URRHCC15,true
URRHCC16,true
URRHCC17,true
URRHCC18,true
URRHCC19,true
URRHCC20,true
URRHCC21,true
URRHCC22,true
URRHCC23,true
URRHCC24,true
URRHCC25,true
URRHCC26,true
URRHCC27,true
URRHCC28,true
URRHCC29,true
URRHCC30,true
URRHCC31,true
URRHCC32,true
URRHCC33,true
URRHCC34,true
URRHCC35,true
URRHCC36,true
URRHCC37,true
CRRRMS,true
CRRHSP1,true
CRRHCC1,true
CRRHCC2,true
CRRHCC3,true
CRRHCC4,true
CRRHCC5,true
CRRHCC6,true
CRRHCC7,true
CRRHCC8,true
CRRHCC9,true
CRRHCC10,true
CRRHCC11,true
CRRHCC12,true
CRRHCC13,true
CRRHCC14,true
CRRHCC15,true
CRRHCC16,true
CRRHCC17,true
CRRHCC18,true
CRRHCC19,true
CRRHCC20,true
CRRHCC21,true
CRRHCC22,true
CRRHCC23,true
CRRHCC24,true
CRRHCC25,true
CRRHCC26,true
CRRHCC27,true
CRRHCC28,true
CRRHCC29,true
CRRHCC30,true
CRRHCC31,true
CRRHCC32,true
CRRHCC33,true
CRRHCC34,true
CRRHCC35,true
CRRHCC36,true
CRRHCC37,true
CRRHCC38,true
CRRHCC39,true
