referenceId,isRefDataFacility
GCMS,true
WHR1RMS,true
WHR1HSP1,true
WHR1HSP2,true
WHR1HSP3,true
WHR1HSP4,true
WHR1HCC1,true
WHR1HCC2,true
WHR1HCC3,true
WHR1HCC4,true
WHR1HCC5,true
WHR1HCC6,true
WHR1HCC7,true
WHR1HCC8,true
WHR1HCC9,true
WHR1HCC10,true
WHR1HSP5,true
WHR1HSP6,true
WHR1HSP7,true
WHR1HSP8,true
WHR1HCC11,true
WHR1HCC12,true
WHR1HCC13,true
WHR1HCC14,true
WHR1HCC15,true
WHR1HCC16,true
WHR1HCC17,true
WHR1HCC18,true
WHR1HCC19,true
WHR1HCC20,true
WHR1HCC21,true
WHR1HCC22,true
WHR1HCC23,true
WHR1HCC24,true
WHR1HCC25,true
WHR1HCC26,true
WHR1HCC27,true
WHR1HCC28,true
WHR1HCC29,true
WHR1HCC30,true
WHR1HCC31,true
WHR1HCC32,true
WHR1HCC33,true
WHR1HCC34,true
WHR1HCC35,true
WHR1HCC36,true
WHR1HCC37,true
WHR1HCC38,true
WHR1HCC39,true
WHR1HCC40,true
WHR1HCC41,true
WHR1HCC42,true
WHR1HCC43,true
WHR1HCC44,true
WHR1HCC45,true
WHR1HCC46,true
WHR1HCC47,true
WHR1HCC48,true
WHR1HCC49,true
WHR1HCC50,true
WHR1HCC51,true
WHR1HCC52,true
WHR1HCC53,true
WHR1HCC54,true
WHR1HCC55,true
WHR1HCC56,true
WHR1HCC57,true
WHR1HCC58,true
WHR1HCC59,true
WHR1HCC60,true
WHR1HCC61,true
WHR1HCC62,true
WHR1HCC63,true
WHR1HCC64,true
WHR1HCC65,true
WHR2RMS,true
WHR2HCC15,true
WHR2HCC16,true
WHR2HCC17,true
WHR2HCC18,true
WHR2HCC19,true
WHR2HCC20,true
WHR2HCC21,true
WHR2HCC22,true
WHR2HCC23,true
WHR2HCC24,true
WHR2HCC25,true
WHR2HCC26,true
WHR2HSP1,true
WHR2HCC27,true
WHR2HCC28,true
WHR2HCC29,true
WHR2HCC30,true
WHR2HSP2,true
WHR2HCC1,true
WHR2HCC2,true
WHR2HCC3,true
WHR2HCC4,true
WHR2HCC5,true
WHR2HCC6,true
WHR2HCC7,true
WHR2HCC8,true
WHR2HCC9,true
WHR2HCC10,true
WHR2HCC11,true
WHR2HCC12,true
WHR2HCC13,true
WHR2HCC14,true
WHR2HCC31,true
WHR2HCC32,true
WHR2HCC33,true
WHR2HCC34,true
WHR2HCC35,true
WHR2HCC36,true
WHR2HCC37,true
WHR2HCC38,true
WHR2HCC39,true
WHR2HCC40,true
WHR2HCC41,true
WHR2HCC42,true
WHR2HCC43,true
WHR2HCC44,true
WHR2HCC45,true
WHR2HCC46,true
WHR2HCC47,true
WHR2HCC48,true
WHR2HCC49,true
WHR2HCC50,true
WHR2HCC51,true
WHR2HCC52,true
NBERRMS,true
NBERHSP1,true
NBERHCC1,true
NBERHCC2,true
NBERHCC3,true
NBERHCC4,true
NBERHCC5,true
NBERHCC6,true
NBERHCC7,true
NBERHCC8,true
NBERHCC9,true
NBERHCC10,true
NBERHCC11,true
NBERHCC12,true
NBERHCC13,true
NBERHCC14,true
NBERHCC15,true
NBERHCC16,true
NBERHCC17,true
NBERHCC18,true
NBERHCC19,true
NBERHCC20,true
NBERHCC21,true
NBWRRMS,true
NBWRHSP1,true
NBWRHCC1,true
NBWRHCC2,true
NBWRHCC3,true
NBWRHCC4,true
NBWRHCC5,true
NBWRHCC6,true
NBWRHCC7,true
NBWRHCC8,true
NBWRHCC9,true
NBWRHCC10,true
NBWRHCC11,true
NBWRHCC12,true
NBWRHCC13,true
NBWRHCC14,true
NBWRHCC15,true
NBWRHCC16,true
NBWRHCC17,true
NBWRHCC18,true
NBWRHCC19,true
LRRRMS,true
LRRHSP1,true
LRRHCC1,true
