facilityType,program,orderable,maxPeriodsOfStock,minPeriodsOfStock,emergencyOrderPoint
RMS,LC,LC0351,4,2,1
RMS,LC,LC0352,4,2,1
RMS,LC,LC0353,4,2,1
RMS,LC,LC0354,4,2,1
RMS,LC,LC0355,4,2,1
RMS,LC,LC0356,4,2,1
RMS,LC,LC0357,4,2,1
RMS,LC,LC0358,4,2,1
RMS,LC,LC0359,4,2,1
RMS,LC,LC0360,4,2,1
RMS,LC,LC0361,4,2,1
RMS,LC,LC0362,4,2,1
RMS,LC,LC0363,4,2,1
RMS,LC,LC0364,4,2,1
RMS,LC,LC0365,4,2,1
RMS,LC,LC0366,4,2,1
RMS,LC,LC0367,4,2,1
RMS,LC,LC0368,4,2,1
RMS,LC,LC0369,4,2,1
RMS,LC,LC0370,4,2,1
RMS,LC,LC0371,4,2,1
RMS,LC,LC0372,4,2,1
RMS,LC,LC0373,4,2,1
RMS,LC,LC0374,4,2,1
RMS,LC,LC0375,4,2,1
RMS,LC,LC0376,4,2,1
RMS,LC,LC0377,4,2,1
RMS,LC,LC0378,4,2,1
RMS,LC,LC0379,4,2,1
RMS,LC,LC0380,4,2,1
RMS,LC,LC0381,4,2,1
RMS,LC,LC0382,4,2,1
RMS,LC,LC0383,4,2,1
RMS,LC,LC0384,4,2,1
RMS,LC,LC0385,4,2,1
RMS,LC,LC0386,4,2,1
RMS,LC,LC0387,4,2,1
RMS,LC,LC0388,4,2,1
RMS,LC,LC0389,4,2,1
RMS,LC,LC0390,4,2,1
RMS,LC,LC0391,4,2,1
RMS,LC,LC0392,4,2,1
RMS,LC,LC0393,4,2,1
RMS,LC,LC0394,4,2,1
RMS,LC,LC0395,4,2,1
RMS,LC,LC0396,4,2,1
RMS,LC,LC0397,4,2,1
RMS,LC,LC0398,4,2,1
RMS,LC,LC0399,4,2,1
RMS,LC,LC0400,4,2,1
RMS,LC,LC0401,4,2,1
RMS,LC,LC0402,4,2,1
RMS,LC,LC0403,4,2,1
RMS,LC,LC0404,4,2,1
RMS,LC,LC0405,4,2,1
RMS,LC,LC0406,4,2,1
RMS,LC,LC0407,4,2,1
RMS,LC,LC0408,4,2,1
RMS,LC,LC0409,4,2,1
RMS,LC,LC0410,4,2,1
RMS,LC,LC0411,4,2,1
RMS,LC,LC0412,4,2,1
RMS,LC,LC0413,4,2,1
RMS,LC,LC0414,4,2,1
RMS,LC,LC0415,4,2,1
RMS,LC,LC0416,4,2,1
RMS,LC,LC0417,4,2,1
RMS,LC,LC0418,4,2,1
RMS,LC,LC0419,4,2,1
RMS,LC,LC0420,4,2,1
RMS,LC,LC0421,4,2,1
RMS,LC,LC0422,4,2,1
RMS,LC,LC0423,4,2,1
RMS,LC,LC0424,4,2,1
RMS,LC,LC0425,4,2,1
RMS,LC,LC0426,4,2,1
RMS,LC,LC0427,4,2,1
RMS,LC,LC0428,4,2,1
RMS,LC,LC0429,4,2,1
RMS,LC,LC0430,4,2,1
RMS,LC,LC0431,4,2,1
RMS,LC,LC0432,4,2,1
RMS,LC,LC0433,4,2,1
RMS,LC,LC0434,4,2,1
RMS,LC,LC0435,4,2,1
RMS,LC,LC0436,4,2,1
RMS,LC,LC0437,4,2,1
RMS,LC,LC0438,4,2,1
RMS,LC,LC0439,4,2,1
RMS,LC,LC0440,4,2,1
RMS,LC,LC0441,4,2,1
RMS,LC,LC0442,4,2,1
RMS,LC,LC0443,4,2,1
RMS,LC,LC0444,4,2,1
RMS,LC,LC0445,4,2,1
RMS,LC,LC0446,4,2,1
RMS,LC,LC0447,4,2,1
RMS,LC,LC0448,4,2,1
RMS,LC,LC0449,4,2,1
RMS,LC,LC0450,4,2,1
RMS,LC,LC0451,4,2,1
RMS,HIV,HIV0001,4,2,1
RMS,HIV,HIV0002,4,2,1
RMS,HIV,HIV0003,4,2,1
RMS,HIV,HIV0004,4,2,1
RMS,HIV,HIV0005,4,2,1
RMS,HIV,HIV0006,4,2,1
RMS,HIV,HIV0007,4,2,1
RMS,HIV,HIV0008,4,2,1
RMS,HIV,HIV0009,4,2,1
RMS,HIV,HIV0010,4,2,1
RMS,HIV,HIV0011,4,2,1
RMS,TB,TB0001,4,2,1
RMS,TB,TB0002,4,2,1
RMS,TB,TB0003,4,2,1
RMS,TB,TB0004,4,2,1
RMS,TB,TB0005,4,2,1
RMS,TB,TB0006,4,2,1
RMS,TB,TB0007,4,2,1
RMS,TB,TB0008,4,2,1
RMS,TB,TB0009,4,2,1
RMS,TB,TB0010,4,2,1
RMS,TB,TB0011,4,2,1
RMS,TB,TB0012,4,2,1
RMS,TB,TB0013,4,2,1
RMS,TB,TB0014,4,2,1
RMS,TB,TB0015,4,2,1
RMS,MLA,MAL0001,4,2,1
RMS,MLA,MAL0002,4,2,1
RMS,MLA,MAL0003,4,2,1
RMS,MLA,MAL0004,4,2,1
RMS,MLA,MAL0005,4,2,1
RMS,MLA,MAL0006,4,2,1
RMS,MLA,MAL0007,4,2,1
RMS,MLA,MAL0008,4,2,1
RMS,MLA,MAL0009,4,2,1
RMS,MLA,MAL0010,4,2,1
RMS,MLA,MAL0011,4,2,1
RMS,MLA,MAL0012,4,2,1
RMS,MLA,MAL0013,4,2,1
RMS,MLA,MAL0014,4,2,1
RMS,MLA,MAL0015,4,2,1
RMS,MLA,MAL0016,4,2,1
RMS,MLA,MAL0017,4,2,1
RMS,MLA,MAL0018,4,2,1
